paper_id,cosine_tfidf_similarity
9201001,0.003002
9201002,0.000000
9201003,0.108467
9201004,0.112895
9201005,0.000000
9201006,0.053692
9201007,0.009928
9201009,0.055888
9201010,0.112733
9201011,0.075698
9201012,0.087273
9201013,0.068996
9201014,0.019414
9201015,0.061538
9201016,0.063975
9201017,0.037014
9201018,0.139091
9201019,0.052720
9201020,0.045281
9201021,0.068947
9201022,0.017333
9201023,0.126796
9201024,0.056604
9201025,0.005907
9201026,0.009993
9201027,0.023818
9201028,0.034274
9201029,0.075345
9201030,0.065310
9201031,0.055338
9201032,0.076683
9201033,0.090342
9201034,0.006530
9201035,0.065660
9201036,0.111246
9201037,0.093449
9201038,0.071518
9201039,0.054559
9201040,0.077587
9201041,0.102623
9201042,0.065922
9201043,0.029496
9201044,0.047979
9201046,0.044863
9201047,0.103402
9201048,0.023765
9201049,0.068484
9201050,0.063865
9201053,0.043262
9201054,0.069566
9201055,0.039957
9201056,0.053428
9201057,0.080024
9201058,0.043701
9201059,0.054532
9201060,0.000000
9201061,0.034350
9201063,0.040532
9201064,0.060937
9201065,0.044657
9201066,0.071029
9201067,0.024719
9201068,0.121583
9201069,0.044175
9201070,0.063028
9201071,0.066986
9201072,0.065770
9201073,0.037891
9201074,0.060674
9201075,0.010522
9201076,0.024027
9201077,0.057284
9201078,0.004945
9201079,0.102174
9201080,0.005177
9202001,0.039010
9202002,0.077385
9202003,0.040830
9202004,0.102614
9202005,0.134884
9202006,0.077377
9202007,0.032187
9202008,0.078023
9202009,0.043743
9202010,0.050857
9202011,0.033907
9202012,0.014195
9202013,0.050819
9202014,0.072625
9202015,0.045959
9202016,0.027431
9202017,0.014633
9202018,0.026676
9202019,0.092484
9202020,0.137257
9202021,0.086939
9202022,0.074952
9202023,0.018131
9202024,0.027860
9202025,0.045758
9202026,0.010987
9202027,0.083919
9202029,0.113620
9202030,0.062702
9202031,0.032659
9202032,0.074453
9202033,0.051168
9202034,0.023339
9202035,0.050840
9202036,0.036143
9202037,0.029786
9202038,0.066151
9202039,0.034274
9202040,0.054310
9202041,0.112219
9202042,0.102941
9202043,0.042637
9202044,0.003634
9202045,0.065817
9202046,0.065705
9202047,0.079221
9202048,0.029100
9202049,0.069559
9202050,0.058879
9202051,0.074896
9202053,0.074493
9202054,0.033756
9202055,0.077362
9202056,0.094393
9202057,0.087723
9202058,0.074688
9202059,0.067032
9202060,0.077912
9202061,0.077409
9202062,0.024919
9202063,0.046587
9202064,0.031425
9202065,0.103100
9202066,0.028033
9202067,0.043009
9202068,0.080988
9202069,0.073532
9202070,0.102788
9202071,0.005229
9202072,0.087585
9202074,0.081458
9202075,0.065474
9202076,0.051368
9202077,0.044439
9202078,0.206179
9202079,0.082770
9202080,0.028993
9202081,0.070042
9202082,0.023360
9202083,0.030328
9202084,0.043596
9202085,0.055654
9202086,0.056228
9202087,0.041264
9202088,0.009462
9202089,0.017569
9202090,0.030915
9202092,0.016956
9203001,0.097877
9203002,0.000000
9203003,0.012517
9203004,0.047630
9203005,0.128553
9203006,0.031258
9203007,0.021772
9203008,0.035790
9203009,0.082269
9203011,0.043130
9203012,0.127058
9203013,0.157393
9203014,0.091488
9203015,0.075437
9203016,0.026889
9203017,0.045350
9203018,0.063739
9203019,0.088534
9203020,0.060548
9203021,0.085178
9203022,0.117742
9203023,0.008670
9203024,0.077032
9203025,0.080677
9203026,0.052334
9203027,0.013794
9203028,0.056439
9203029,0.072085
9203030,0.005224
9203031,0.182201
9203032,0.057679
9203033,0.032459
9203034,0.036811
9203036,0.018411
9203037,0.060834
9203038,0.015638
9203039,0.107864
9203040,0.068611
9203041,0.028707
9203042,0.025995
9203043,0.121898
9203044,0.111465
9203045,0.084029
9203046,0.036467
9203047,0.041134
9203048,0.123853
9203049,0.024605
9203050,0.020903
9203051,0.042377
9203052,0.089575
9203053,0.051327
9203054,0.059295
9203056,0.074351
9203057,0.002033
9203058,0.024825
9203059,0.095617
9203060,0.080710
9203061,0.129865
9203062,0.115427
9203063,0.105094
9203064,0.000000
9203065,0.086927
9203066,0.042121
9203067,0.064774
9203068,0.117025
9203069,0.011032
9203070,0.040945
9203071,0.051865
9203072,0.053468
9203073,0.051773
9203074,0.043708
9203076,0.119231
9203077,0.021049
9203079,0.061226
9203082,0.066683
9203083,0.059943
9203084,0.007608
9204001,0.021942
9204002,0.070792
9204003,0.039758
9204004,0.017802
9204005,0.065420
9204006,0.048541
9204007,0.064668
9204008,0.049611
9204009,0.016623
9204011,0.083601
9204012,0.049062
9204013,0.144879
9204015,0.082075
9204016,0.000000
9204017,0.018520
9204019,0.111981
9204020,0.067215
9204021,0.040675
9204022,0.049095
9204023,0.087582
9204024,0.016905
9204025,0.057550
9204026,0.020588
9204027,0.068834
9204028,0.048208
9204029,0.089473
9204030,0.032717
9204031,0.012054
9204032,0.031549
9204033,0.039370
9204034,0.054504
9204035,0.000000
9204036,0.027774
9204038,0.038780
9204039,0.043667
9204040,0.057672
9204041,0.023724
9204042,0.033209
9204043,0.037382
9204044,0.034444
9204045,0.014111
9204046,0.104790
9204047,0.069790
9204048,0.080191
9204049,0.027016
9204050,0.059840
9204051,0.075933
9204052,0.069915
9204053,0.027323
9204054,0.102294
9204055,0.053494
9204056,0.114288
9204057,0.038138
9204058,0.040317
9204059,0.050222
9204060,0.073119
9204061,0.054835
9204062,0.062257
9204063,0.102123
9204064,0.028780
9204066,0.004056
9204067,0.089091
9204068,0.055386
9204069,0.098050
9204070,0.053875
9204071,0.034705
9204072,0.044601
9204073,0.079779
9204074,0.045208
9204075,0.071812
9204076,0.105574
9204077,0.024659
9204078,0.037508
9204079,0.064539
9204080,0.006288
9204081,0.084877
9204082,0.093260
9204083,0.039148
9204084,0.037793
9204085,0.073434
9204086,0.126871
9204088,0.023231
9204089,0.012641
9204090,0.067919
9204091,0.026356
9204093,0.006740
9204094,0.055551
9204095,0.108885
9204097,0.077769
9204098,0.048208
9204099,0.059304
9204100,0.080347
9204101,0.016440
9204102,0.012764
9204103,0.024064
9205001,0.037292
9205002,0.037447
9205003,0.037790
9205004,0.013229
9205005,0.072144
9205006,0.048496
9205007,0.080009
9205008,0.026297
9205009,0.068590
9205010,0.018495
9205011,0.075338
9205012,0.015055
9205013,0.066797
9205014,0.077141
9205015,0.005831
9205016,0.075063
9205017,0.081115
9205018,0.059787
9205019,0.000000
9205020,0.032167
9205021,0.107969
9205022,0.031010
9205024,0.058002
9205025,0.064391
9205026,0.016461
9205027,0.063881
9205028,0.068448
9205029,0.101339
9205030,0.052783
9205031,0.069731
9205032,0.023902
9205033,0.064737
9205034,0.085069
9205035,0.062928
9205036,0.025397
9205037,0.014248
9205038,0.040979
9205039,0.067886
9205040,0.023538
9205041,0.020901
9205042,0.014045
9205043,0.039747
9205044,0.160122
9205045,0.080406
9205046,0.086903
9205047,0.033255
9205048,0.078212
9205049,0.054000
9205050,0.005512
9205051,0.086900
9205052,0.059046
9205053,0.085864
9205054,0.025307
9205055,0.011855
9205056,0.087456
9205057,0.039922
9205058,0.081480
9205059,0.046893
9205060,0.063713
9205061,0.043648
9205062,0.071497
9205063,0.076853
9205064,0.030193
9205065,0.092197
9205066,0.053179
9205067,0.058146
9205068,0.000000
9205069,0.044978
9205070,0.061499
9205071,0.042977
9205072,0.136111
9205073,0.025496
9205074,0.058179
9205075,0.033970
9205076,0.089916
9205077,0.020884
9205079,0.105520
9205080,0.122179
9205081,0.041813
9205082,0.026029
9205083,0.096086
9205085,0.027567
9205086,0.060490
9205087,0.046557
9205088,0.017984
9205089,0.082777
9205090,0.047901
9205091,0.057864
9205092,0.020758
9205093,0.013381
9205094,0.061435
9205095,0.052669
9205096,0.035284
9205097,0.056898
9205098,0.058184
9205099,0.034532
9205100,0.100313
9205101,0.019206
9205102,0.034813
9205103,0.050789
9205104,0.064999
9205105,0.094035
9205106,0.110334
9205107,0.065370
9205108,0.137718
9205109,0.063864
9205110,0.034344
9205111,0.037440
9205112,0.024205
9205113,0.058569
9205114,0.081369
9205115,0.083792
9205116,0.028772
9205117,0.098937
9206001,0.046618
9206002,0.029399
9206003,0.036449
9206006,0.063539
9206007,0.034711
9206008,0.053896
9206009,0.028413
9206010,0.004998
9206012,0.066655
9206013,0.055072
9206014,0.000000
9206015,0.045958
9206016,0.085612
9206017,0.088102
9206018,0.049191
9206019,0.142793
9206020,0.061577
9206021,0.046259
9206022,0.041164
9206023,0.062806
9206024,0.111060
9206025,0.111410
9206026,0.000000
9206027,0.060077
9206028,0.013891
9206029,0.043395
9206030,0.077669
9206031,0.000000
9206032,0.003097
9206033,0.036076
9206034,0.076447
9206035,0.009902
9206036,0.088695
9206037,0.076928
9206038,0.133765
9206039,0.044508
9206040,0.001474
9206041,0.062296
9206042,0.021155
9206044,0.075154
9206045,0.000000
9206046,0.020247
9206047,0.065125
9206048,0.053219
9206049,0.028128
9206050,0.037237
9206051,0.046504
9206052,0.046960
9206053,0.018751
9206054,0.015819
9206055,0.069695
9206056,0.046754
9206057,0.012973
9206058,0.084402
9206059,0.021457
9206060,0.068923
9206061,0.090285
9206062,0.086014
9206063,0.095322
9206065,0.048105
9206066,0.028667
9206067,0.000000
9206068,0.061611
9206069,0.162678
9206070,0.066572
9206071,0.067368
9206072,0.042946
9206073,0.054472
9206074,0.001892
9206076,0.076970
9206077,0.114872
9206078,0.079241
9206079,0.074733
9206080,0.077572
9206081,0.054568
9206082,0.028442
9206083,0.000000
9206084,0.101558
9206085,0.063876
9206087,0.039431
9206088,0.100144
9206089,0.051003
9206090,0.040802
9206091,0.099972
9206092,0.093022
9206093,0.053875
9206094,0.001614
9206095,0.046209
9206096,0.110219
9206097,0.037174
9206098,0.063958
9206099,0.150197
9206100,0.039649
9206101,0.058001
9206102,0.102011
9206103,0.003650
9206104,0.002099
9206105,0.037932
9206106,0.026946
9206107,0.191330
9206108,0.059280
9206109,0.026905
9206110,0.112162
9206111,0.078915
9206112,0.113180
9206113,0.064578
9206114,0.034918
9207001,0.015289
9207002,0.035358
9207003,0.028917
9207005,0.067610
9207006,0.013832
9207007,0.133191
9207008,0.061030
9207009,0.121653
9207010,0.070224
9207011,0.047791
9207012,0.094635
9207013,0.127228
9207014,0.006636
9207015,0.035121
9207016,0.053358
9207017,0.102885
9207018,0.072149
9207019,0.055476
9207020,0.134287
9207021,0.057895
9207022,0.017137
9207023,0.053306
9207024,0.095980
9207025,0.030420
9207026,0.000000
9207027,0.104246
9207028,0.028668
9207029,0.034864
9207030,0.050860
9207031,0.036051
9207032,0.061322
9207034,0.096883
9207035,0.048935
9207036,0.061655
9207037,0.025778
9207038,0.049781
9207039,0.071968
9207040,0.039686
9207041,0.059216
9207042,0.103534
9207043,0.020322
9207044,0.037313
9207045,0.023541
9207047,0.054418
9207048,0.122995
9207050,0.073005
9207051,0.082732
9207052,0.056263
9207053,0.026069
9207055,0.042366
9207056,0.004399
9207057,0.095182
9207058,0.013071
9207059,0.038752
9207060,0.019128
9207061,0.119915
9207062,0.067249
9207063,0.000000
9207064,0.051024
9207065,0.050256
9207066,0.092803
9207067,0.117354
9207068,0.030508
9207069,0.052542
9207070,0.046872
9207071,0.063102
9207072,0.065155
9207073,0.042995
9207074,0.023791
9207075,0.038832
9207076,0.018590
9207077,0.042826
9207078,0.099039
9207079,0.061296
9207080,0.026776
9207081,0.082766
9207082,0.034600
9207083,0.036659
9207084,0.028066
9207085,0.044115
9207086,0.065367
9207087,0.015155
9207088,0.031822
9207089,0.046523
9207090,0.054036
9207091,0.021270
9207092,0.059875
9207093,0.048811
9207094,0.112078
9207095,0.024976
9207096,0.079731
9207097,0.112841
9207098,0.023777
9207099,0.044244
9207100,0.145284
9207101,0.031387
9207102,0.019203
9207103,0.000000
9207105,0.090307
9207106,0.066024
9207108,0.034875
9207109,0.071809
9207110,0.043678
9207111,0.048505
9207112,0.027074
9207113,0.007677
9207114,0.028637
9207115,0.046967
9207116,0.116554
9207117,0.067485
9207118,0.062620
9208001,0.087016
9208002,0.011283
9208003,0.063806
9208005,0.078158
9208006,0.108106
9208007,0.049059
9208008,0.106072
9208009,0.028016
9208010,0.039513
9208011,0.006711
9208012,0.013617
9208013,0.121643
9208014,0.074097
9208015,0.030100
9208016,0.093544
9208017,0.043568
9208018,0.030379
9208019,0.040747
9208020,0.068736
9208022,0.148871
9208023,0.021909
9208024,0.054773
9208025,0.086061
9208026,0.022073
9208027,0.140927
9208028,0.068976
9208029,0.050177
9208030,0.042039
9208031,0.064905
9208032,0.016020
9208033,0.007256
9208034,0.063798
9208035,0.116267
9208036,0.019201
9208037,0.000000
9208038,0.104546
9208039,0.071204
9208040,0.093769
9208041,0.034487
9208042,0.000000
9208043,0.072675
9208044,0.086251
9208045,0.030840
9208046,0.076415
9208047,0.059150
9208048,0.104110
9208049,0.073403
9208050,0.009853
9208051,0.072048
9208052,0.010391
9208053,0.107859
9208054,0.071728
9208055,0.012563
9208056,0.036513
9208057,0.085734
9208058,0.034999
9208059,0.036198
9208060,0.005012
9208062,0.034300
9208064,0.042341
9208065,0.141771
9208066,0.055930
9208067,0.062299
9208068,0.024605
9208069,0.069710
9208071,0.036491
9208072,0.046521
9208073,0.000000
9208074,0.010102
9208075,0.141877
9208076,0.014959
9208077,0.061516
9208078,0.033974
9208079,0.098617
9208080,0.077280
9208081,0.000000
9209001,0.135750
9209002,0.029779
9209003,0.070913
9209004,0.096379
9209005,0.064045
9209006,0.092002
9209007,0.033138
9209008,0.094877
9209009,0.061892
9209010,0.079117
9209011,0.054766
9209012,0.056689
9209013,0.053374
9209014,0.128988
9209015,0.016904
9209016,0.056733
9209017,0.048620
9209018,0.072352
9209019,0.124397
9209020,0.061533
9209021,0.011492
9209022,0.008885
9209023,0.030511
9209024,0.045508
9209026,0.023561
9209027,0.041323
9209028,0.024301
9209029,0.079828
9209030,0.084547
9209031,0.018385
9209032,0.012367
9209033,0.048373
9209034,0.071933
9209037,0.131554
9209039,0.056278
9209040,0.143584
9209041,0.030654
9209042,0.038374
9209043,0.028232
9209044,0.018631
9209045,0.109420
9209046,0.068016
9209047,0.022168
9209048,0.054739
9209049,0.057608
9209050,0.082294
9209051,0.100977
9209052,0.102249
9209053,0.009579
9209054,0.080879
9209055,0.051630
9209056,0.061308
9209057,0.069290
9209058,0.069796
9209059,0.044933
9209060,0.091479
9209061,0.044109
9209062,0.051736
9209064,0.042416
9209065,0.011404
9209066,0.052239
9209067,0.064569
9209068,0.055920
9209069,0.066029
9209070,0.069345
9209071,0.030708
9209072,0.085044
9209073,0.028077
9209074,0.004283
9209075,0.051350
9209076,0.130087
9209077,0.055015
9209078,0.047952
9209079,0.019830
9209080,0.046120
9209081,0.049313
9209082,0.031337
9209083,0.013031
9209084,0.064178
9209085,0.057054
9209086,0.057247
9209087,0.076652
9209088,0.061648
9209089,0.055685
9209090,0.082856
9209091,0.062684
9209092,0.094305
9209093,0.075125
9209094,0.000000
9209095,0.057865
9209096,0.043226
9209097,0.061062
9209098,0.034424
9209099,0.039235
9209100,0.126644
9209101,0.071652
9209102,0.034870
9209103,0.094331
9209104,0.042170
9209106,0.023681
9209107,0.021800
9209108,0.023371
9209109,0.034658
9209110,0.059963
9209111,0.094633
9209112,0.033301
9209113,0.072890
9209114,0.012341
9209115,0.053018
9209116,0.074710
9209117,0.037143
9209118,0.086122
9209119,0.015335
9209120,0.040705
9209121,0.044736
9209122,0.135316
9209124,0.013892
9209125,0.022703
9209126,0.017990
9209127,0.051999
9209128,0.085277
9209129,0.031976
9209130,0.083212
9209131,0.054069
9209132,0.019196
9210001,0.052106
9210002,0.038558
9210003,0.036440
9210004,0.053651
9210005,0.021668
9210007,0.070761
9210008,0.070142
9210009,0.057618
9210010,0.131837
9210011,0.032164
9210012,0.037392
9210013,0.046163
9210014,0.101821
9210015,0.047817
9210016,0.061373
9210017,0.043540
9210018,0.021170
9210019,0.032251
9210020,0.058031
9210021,0.009298
9210022,0.130621
9210023,0.046469
9210024,0.138761
9210025,0.005884
9210026,0.013607
9210027,0.152138
9210028,0.062321
9210029,0.078247
9210030,0.028627
9210031,0.064775
9210032,0.096689
9210033,0.011065
9210034,0.086213
9210035,0.044152
9210036,0.016961
9210037,0.037321
9210038,0.027669
9210040,0.040767
9210041,0.109598
9210042,0.055022
9210043,0.048522
9210044,0.135952
9210045,0.026622
9210046,0.033026
9210047,0.073748
9210048,0.036671
9210049,0.126301
9210050,0.068973
9210051,0.047342
9210052,0.056070
9210053,0.101369
9210054,0.048572
9210055,0.108940
9210056,0.029934
9210057,0.025379
9210058,0.107834
9210059,0.074431
9210060,0.108091
9210061,0.053841
9210062,0.055685
9210064,0.006809
9210065,0.064131
9210067,0.043703
9210068,0.014579
9210070,0.065351
9210071,0.047496
9210072,0.064922
9210073,0.104896
9210074,0.045462
9210075,0.039402
9210076,0.071660
9210077,0.000000
9210078,0.010813
9210079,0.062037
9210080,0.115517
9210081,0.085302
9210082,0.046502
9210083,0.102874
9210084,0.072960
9210085,0.032070
9210086,0.076135
9210087,0.042619
9210088,0.026851
9210089,0.034245
9210090,0.108588
9210091,0.020487
9210092,0.061924
9210094,0.033098
9210095,0.041386
9210096,0.055887
9210097,0.020183
9210098,0.037652
9210099,0.032660
9210100,0.152587
9210101,0.099262
9210102,0.079765
9210103,0.011046
9210104,0.074656
9210106,0.031182
9210108,0.005260
9210109,0.054437
9210110,0.000000
9210111,0.017071
9210112,0.031299
9210113,0.039640
9210114,0.008601
9210115,0.007601
9210116,0.012150
9210117,0.173361
9210118,0.159654
9210119,0.083860
9210120,0.153368
9210121,0.067724
9210122,0.004869
9210123,0.026670
9210124,0.048842
9210125,0.048027
9210126,0.015373
9210127,0.153941
9210128,0.000000
9210129,0.013250
9210130,0.070910
9210131,0.010759
9210132,0.000000
9210133,0.033736
9210134,0.054775
9210135,0.007700
9210136,0.013027
9210137,0.053452
9210138,0.036613
9210139,0.059015
9210140,0.031497
9210141,0.152017
9210142,0.019778
9210143,0.077324
9210146,0.011418
9210147,0.040742
9210149,0.047172
9210150,0.076413
9210151,0.043371
9210152,0.027910
9210153,0.000000
9210154,0.036411
9210155,0.066573
9210156,0.044479
9210157,0.102281
9210158,0.018305
9210159,0.048697
9210160,0.061561
9210161,0.033432
9210162,0.162034
9210164,0.085557
9210165,0.008022
9211001,0.016557
9211003,0.027960
9211004,0.003604
9211007,0.068415
9211008,0.051450
9211009,0.057670
9211010,0.058910
9211011,0.088608
9211013,0.000000
9211014,0.054042
9211015,0.046201
9211016,0.051969
9211018,0.040676
9211019,0.096457
9211020,0.032121
9211021,0.132934
9211022,0.038789
9211024,0.007197
9211025,0.085591
9211026,0.119315
9211027,0.027025
9211028,0.102138
9211029,0.067445
9211030,0.026606
9211032,0.058922
9211033,0.016672
9211034,0.002027
9211035,0.048393
9211037,0.075663
9211038,0.021733
9211040,0.058654
9211041,0.051013
9211043,0.155055
9211044,0.029023
9211045,0.007178
9211046,0.043897
9211047,0.052065
9211048,0.078593
9211050,0.067600
9211051,0.051574
9211052,0.098603
9211053,0.011126
9211054,0.059854
9211055,0.088082
9211056,0.064879
9211057,0.092303
9211058,0.018699
9211059,0.000000
9211060,0.025601
9211061,0.065853
9211062,0.002483
9211063,0.073765
9211064,0.115057
9211065,0.075213
9211066,0.018560
9211068,0.122573
9211069,0.048743
9211070,0.047610
9211071,0.055198
9211072,0.103461
9211073,0.122739
9211074,0.062300
9211075,0.046283
9211076,0.052267
9211077,0.031897
9211078,0.054978
9211079,0.210774
9211080,0.131925
9211081,0.046260
9211082,0.044564
9211083,0.062606
9211084,0.077701
9211085,0.055101
9211086,0.047059
9211087,0.133128
9211088,0.046226
9211089,0.051725
9211090,0.103735
9211091,0.013701
9211092,0.000000
9211093,0.028549
9211094,0.075023
9211095,0.123217
9211096,0.062278
9211097,0.139840
9211098,0.086379
9211099,0.030005
9211100,0.047686
9211102,0.032301
9211103,0.038692
9211104,0.025981
9211105,0.042692
9211106,0.046379
9211107,0.061511
9211108,0.031710
9211109,0.058300
9211110,0.025649
9211111,0.078489
9211112,0.086950
9211113,0.034548
9211114,0.015524
9211115,0.039850
9211116,0.032144
9211117,0.054897
9211118,0.044888
9211119,0.048225
9211120,0.000000
9211121,0.027154
9211122,0.095184
9211123,0.105802
9211124,0.057811
9211125,0.125755
9211126,0.095896
9211127,0.039536
9211128,0.077831
9211129,0.033561
9211130,0.168277
9211131,0.137895
9211132,0.041424
9211133,0.060680
9211134,0.100483
9211135,0.076091
9211136,0.041281
9211137,0.023987
9211138,0.068016
9211139,0.036302
9211140,0.039974
9211141,0.124014
9212001,0.027350
9212002,0.091150
9212003,0.076458
9212004,0.000000
9212005,0.036300
9212006,0.133045
9212007,0.034399
9212008,0.052861
9212009,0.075475
9212010,0.029276
9212011,0.045976
9212012,0.086413
9212013,0.050408
9212014,0.053178
9212015,0.040374
9212016,0.091447
9212017,0.041147
9212018,0.057155
9212019,0.072274
9212020,0.012860
9212021,0.042190
9212022,0.003590
9212023,0.046746
9212024,0.051110
9212026,0.058012
9212027,0.096713
9212028,0.054246
9212029,0.004209
9212030,0.030660
9212031,0.049749
9212032,0.069298
9212033,0.000000
9212034,0.000000
9212035,0.099216
9212036,0.079028
9212037,0.064695
9212038,0.020769
9212039,0.127013
9212040,0.082543
9212041,0.033113
9212042,0.065473
9212043,0.075748
9212044,0.035562
9212045,0.048239
9212046,0.102326
9212047,0.115838
9212048,0.036157
9212049,0.032893
9212050,0.039574
9212051,0.011039
9212052,0.004761
9212053,0.053103
9212055,0.045655
9212056,0.106887
9212057,0.133337
9212058,0.029400
9212059,0.016911
9212060,0.054355
9212061,0.043948
9212062,0.088025
9212063,0.041087
9212064,0.078200
9212065,0.096939
9212066,0.111759
9212067,0.086061
9212068,0.045239
9212070,0.060529
9212071,0.050954
9212072,0.076040
9212073,0.051136
9212074,0.059382
9212075,0.083545
9212076,0.098982
9212077,0.023383
9212078,0.022295
9212079,0.051350
9212080,0.085939
9212081,0.050283
9212082,0.067324
9212083,0.016407
9212084,0.065736
9212085,0.082391
9212086,0.033324
9212087,0.128501
9212088,0.098988
9212089,0.043078
9212090,0.015909
9212091,0.005785
9212092,0.056286
9212093,0.042911
9212094,0.046850
9212095,0.011732
9212096,0.011227
9212097,0.064317
9212098,0.006271
9212099,0.000000
9212102,0.000000
9212103,0.036394
9212104,0.022344
9212105,0.029098
9212106,0.106321
9212107,0.093874
9212108,0.025295
9212109,0.048048
9212110,0.069918
9212111,0.020201
9212112,0.046725
9212113,0.019029
9212114,0.040069
9212115,0.000000
9212116,0.067700
9212117,0.058137
9212118,0.077328
9212119,0.058704
9212120,0.087765
9212121,0.005747
9212122,0.046033
9212124,0.000000
9212125,0.046455
9212126,0.008961
9212127,0.096956
9212128,0.094094
9212129,0.063178
9212130,0.037344
9212131,0.000000
9212132,0.017182
9212133,0.014663
9212134,0.058213
9212136,0.063847
9212137,0.000000
9212138,0.103659
9212139,0.029623
9212140,0.023568
9212141,0.000000
9212142,0.053175
9212143,0.019613
9212144,0.018750
9212145,0.023183
9212146,0.025271
9212147,0.014152
9212148,0.063023
9212149,0.000000
9212150,0.028422
9212151,0.050797
9212152,0.006286
9212153,0.038203
9212154,0.058327
9212155,0.026519
9212156,0.031307
9212157,0.078249
9212158,0.031138
