paper_id,cosine_tfidf_similarity
9201001,0.059165
9201002,0.118909
9201003,0.210809
9201004,0.105408
9201005,0.046078
9201006,0.099082
9201007,0.084188
9201009,0.064393
9201010,0.056387
9201011,0.028551
9201012,0.075067
9201013,0.108051
9201014,0.079992
9201015,0.028828
9201016,0.120355
9201017,0.108156
9201018,0.124730
9201019,0.160241
9201020,0.062941
9201021,0.137409
9201022,0.037971
9201023,0.117094
9201024,0.208783
9201025,0.104428
9201026,0.124011
9201027,0.121852
9201028,0.061623
9201029,0.066485
9201030,0.120608
9201031,0.057844
9201032,0.056245
9201033,0.092699
9201034,0.103545
9201035,0.052887
9201036,0.202600
9201037,0.082960
9201038,0.113985
9201039,0.100204
9201040,0.139738
9201041,0.047967
9201042,0.083857
9201043,0.052792
9201044,0.106671
9201046,0.067484
9201047,0.071685
9201048,0.120802
9201049,0.138777
9201050,0.118746
9201053,0.098486
9201054,0.157710
9201055,0.038456
9201056,0.163007
9201057,0.228249
9201058,0.078936
9201059,0.070186
9201060,0.083736
9201061,0.086230
9201063,0.049546
9201064,0.111731
9201065,0.055225
9201066,0.097522
9201067,0.039594
9201068,0.150615
9201069,0.062336
9201070,0.117927
9201071,0.128698
9201072,0.086340
9201073,0.066483
9201074,0.068386
9201075,0.054252
9201076,0.102953
9201077,0.048723
9201078,0.108002
9201079,0.089404
9201080,0.065167
9202001,0.088396
9202002,0.094787
9202003,0.062283
9202004,0.064684
9202005,0.058483
9202006,0.056252
9202007,0.134036
9202008,0.206294
9202009,0.065583
9202010,0.123110
9202011,0.146918
9202012,0.100056
9202013,0.135384
9202014,0.037000
9202015,0.097230
9202016,0.071476
9202017,0.021353
9202018,0.097457
9202019,0.078128
9202020,0.074771
9202021,0.128411
9202022,0.110639
9202023,0.029300
9202024,0.113423
9202025,0.142607
9202026,0.067590
9202027,0.096145
9202029,0.172666
9202030,0.155112
9202031,0.030670
9202032,0.059796
9202033,0.173104
9202034,0.077379
9202035,0.108854
9202036,0.113335
9202037,0.050851
9202038,0.089429
9202039,0.042580
9202040,0.131119
9202041,0.043042
9202042,0.055305
