paper_id,cosine_tfidf_similarity
9201001,0.091333
9201002,0.131445
9201003,0.285900
9201004,0.125094
9201005,0.069308
9201006,0.129781
9201007,0.110298
9201009,0.074269
9201010,0.126671
9201011,0.057362
9201012,0.117751
9201013,0.126702
9201014,0.082682
9201015,0.042581
9201016,0.128033
9201017,0.158014
9201018,0.162997
9201019,0.180413
9201020,0.104918
9201021,0.176379
9201022,0.110684
9201023,0.153084
9201024,0.237629
9201025,0.133818
9201026,0.149726
9201027,0.165699
9201028,0.071849
9201029,0.102810
9201030,0.138423
9201031,0.062195
9201032,0.085138
9201033,0.178392
9201034,0.126227
9201035,0.063294
9201036,0.240503
9201037,0.140523
9201038,0.147099
9201039,0.154809
9201040,0.218011
9201041,0.068530
9201042,0.121416
9201043,0.069732
9201044,0.145632
9201046,0.109805
9201047,0.103215
9201048,0.168027
9201049,0.187136
9201050,0.151649
9201053,0.146430
9201054,0.213895
9201055,0.054121
9201056,0.212510
9201057,0.270917
9201058,0.116000
9201059,0.132474
9201060,0.120018
9201061,0.140880
9201063,0.109136
9201064,0.164974
9201065,0.093103
9201066,0.149450
9201067,0.063009
9201068,0.206136
9201069,0.093629
9201070,0.162709
9201071,0.134809
9201072,0.117909
9201073,0.128011
9201074,0.104565
9201075,0.083535
9201076,0.126113
9201077,0.064769
9201078,0.115668
9201079,0.133479
9201080,0.099156
9202001,0.104565
9202002,0.097330
9202003,0.104375
9202004,0.110609
9202005,0.102132
9202006,0.130532
9202007,0.178992
9202008,0.271787
9202009,0.094054
9202010,0.144433
9202011,0.191760
9202012,0.135032
9202013,0.154917
9202014,0.083472
9202015,0.163500
9202016,0.096248
9202017,0.073175
9202018,0.124342
9202019,0.136541
9202020,0.104120
9202021,0.166917
9202022,0.163617
9202023,0.056353
9202024,0.126080
9202025,0.183247
9202026,0.101182
9202027,0.112058
9202029,0.156306
9202030,0.174002
9202031,0.047914
9202032,0.069568
9202033,0.223876
9202034,0.086725
9202035,0.115382
9202036,0.156758
9202037,0.115569
9202038,0.166353
9202039,0.054611
9202040,0.141760
9202041,0.075237
9202042,0.088557
9202043,0.140812
9202044,0.111617
9202045,0.140004
9202046,0.086694
9202047,0.140174
9202048,0.060949
9202049,0.134330
9202050,0.185768
9202051,0.196194
9202053,0.164892
9202054,0.128528
9202055,0.207421
9202056,0.059559
9202057,0.054350
9202058,0.178054
9202059,0.185214
9202060,0.198935
9202061,0.189493
9202062,0.044106
9202063,0.094364
9202064,0.198278
9202065,0.179654
9202066,0.164556
9202067,0.118460
9202068,0.122892
9202069,0.079114
9202070,0.131946
9202071,0.082397
9202072,0.326237
9202074,0.083894
9202075,0.084000
9202076,0.142620
9202077,0.082365
9202078,0.180328
9202079,0.127688
9202080,0.143145
9202081,0.093615
9202082,0.119603
9202083,0.121301
9202084,0.115155
9202085,0.092188
9202086,0.258180
9202087,0.113934
9202088,0.017524
9202089,0.057367
9202090,0.044876
9202092,0.156448
9203001,0.158958
9203002,0.083119
9203003,0.102435
9203004,0.062387
9203005,0.184208
9203006,0.094745
9203007,0.070309
9203008,0.176628
9203009,0.097914
9203011,0.099173
9203012,0.227508
9203013,0.180791
9203014,0.060802
9203015,0.079828
9203016,0.104976
9203017,0.134875
9203018,0.097624
9203019,0.156303
9203020,0.150760
9203021,0.199724
9203022,0.227270
9203023,0.098902
9203024,0.136078
9203025,0.154106
9203026,0.165588
9203027,0.123444
9203028,0.136565
9203029,0.093511
9203030,0.132965
9203031,0.188398
9203032,0.260578
9203033,0.147627
9203034,0.073095
9203036,0.155192
9203037,0.109881
9203038,0.087978
9203039,0.127100
9203040,0.113708
9203041,0.070686
9203042,0.089342
9203043,0.146208
9203044,0.271832
9203045,0.131186
9203046,0.142958
9203047,0.194627
9203048,0.129881
9203049,0.073668
9203050,0.115617
9203051,0.113785
9203052,0.077485
9203053,0.078737
9203054,0.108372
9203056,0.119666
9203057,0.022074
9203058,0.130685
9203059,0.099534
9203060,0.186450
9203061,0.165694
9203062,0.105886
9203063,0.177606
9203064,0.092799
9203065,0.124740
9203066,0.152447
9203067,0.179644
9203068,0.220781
9203069,0.090372
